date,latitude,longitude,pricetype,currency,price,usdprice,year,month,day_of_week,day_of_year,month_sin,month_cos,is_holiday_season,location_cluster,markets_in_region,price_to_usd_ratio,rolling_avg_price,price_volatility,admin1_encoded,admin2_encoded,market_encoded,category_encoded,commodity_encoded,unit_encoded,priceflag_encoded,price_category_encoded
2006-01-15,-4.05,39.666667,Wholesale,KES,-0.6305292239711338,-0.6575885194210257,2006,1,6,15,0.49999999999999994,0.8660254037844387,0,32,4,-1.806873437233854,16.13,16.51805859443091,1,13,49,0,18,11,0,4
2006-01-15,-4.05,39.666667,Wholesale,KES,-0.6246404195663383,-0.6485763608566072,2006,1,6,15,0.49999999999999994,0.8660254037844387,0,32,4,-1.8061581449309891,33.63,14.759302170531353,1,13,49,6,1,11,0,4
2006-01-15,-4.05,39.666667,Wholesale,KES,0.4563320721955471,1.0060544644157514,2006,1,6,15,0.49999999999999994,0.8660254037844387,0,32,4,-1.8062817312151993,3246.0,3108.3542599393118,1,13,49,6,3,8,0,0
2006-01-15,-1.366667,38.016667,Retail,KES,-0.6302364662664383,-0.6571423729574407,2006,1,6,15,0.49999999999999994,0.8660254037844387,0,19,6,-1.8059374444339535,17.0,1360.3237698452122,2,6,34,0,19,11,0,4
2006-01-15,-1.366667,38.016667,Retail,KES,-0.6228333978718382,-0.6458102527823799,2006,1,6,15,0.49999999999999994,0.8660254037844387,0,19,6,-1.8061999406501528,1642.5,3108.3542599393118,2,6,34,6,3,11,0,4
2006-01-15,2.333333,37.983333,Retail,KES,-0.6288904538310565,-0.6550826634505562,2006,1,6,15,0.49999999999999994,0.8660254037844387,0,48,6,-1.8057749295885177,19.0,1360.3237698452122,2,11,45,0,19,11,0,4
2006-01-15,-1.283333,36.816667,Retail,KES,-0.6272079382868292,-0.6525061676233525,2006,1,6,15,0.49999999999999994,0.8660254037844387,0,12,1,-1.8061999406501528,26.0,7.4457874418311745,3,14,52,0,8,4,0,4
2006-01-15,-1.283333,36.816667,Wholesale,KES,-0.6307479509918834,-0.6579231292687145,2006,1,6,15,0.49999999999999994,0.8660254037844387,0,12,1,-1.806995359254369,15.805,16.51805859443091,3,14,52,0,18,11,0,4
2006-01-15,-1.283333,36.816667,Wholesale,KES,-0.16518916984201468,0.05469918124133178,2006,1,6,15,0.49999999999999994,0.8660254037844387,0,12,1,-1.8062764877695765,479.0,1360.3237698452122,3,14,52,0,19,8,0,0
2006-01-15,-1.283333,36.816667,Wholesale,KES,-0.4123742585066232,-0.3236590450891872,2006,1,6,15,0.49999999999999994,0.8660254037844387,0,12,1,-1.8063260920080493,664.43,1087.911292758586,3,14,52,0,33,5,0,2
2006-01-15,-1.283333,36.816667,Retail,KES,-0.628553950722211,-0.6545658771302368,2006,1,6,15,0.49999999999999994,0.8660254037844387,0,12,1,-1.8064027551479038,22.0,10.174312975228663,3,14,52,2,28,6,0,4
2006-01-15,-1.283333,36.816667,Retail,KES,-0.5972591615995834,-0.6066646184899861,2006,1,6,15,0.49999999999999994,0.8660254037844387,0,12,1,-1.8062193411833292,115.0,45.94929996715589,3,14,52,5,30,12,0,2
2006-01-15,-1.283333,36.816667,Wholesale,KES,-0.6217195725815597,-0.6441037425591668,2006,1,6,15,0.49999999999999994,0.8660254037844387,0,12,1,-1.806499960794493,37.97,14.759302170531353,3,14,52,6,1,11,0,4
2006-01-15,3.936804,41.858383,Retail,KES,-0.6258619258514473,-0.650446458116468,2006,1,6,15,0.49999999999999994,0.8660254037844387,0,61,3,-1.806051197005026,483.3333333333333,1360.3237698452122,4,10,42,0,19,11,0,4
2006-01-15,-0.1,34.75,Wholesale,KES,-0.6309633129815445,-0.6582577391164034,2006,1,6,15,0.49999999999999994,0.8660254037844387,0,1,1,-1.8044191050064777,15.483333333333334,16.51805859443091,5,5,31,0,18,11,0,4
2006-01-15,-0.1,34.75,Wholesale,KES,-0.27452912499916954,-0.11266522879821586,2006,1,6,15,0.49999999999999994,0.8660254037844387,0,1,1,-1.8062808049219603,869.25,1087.911292758586,5,5,31,0,33,5,0,0
2006-01-15,-0.1,34.75,Wholesale,KES,-0.09755204496407752,0.15823118600344474,2006,1,6,15,0.49999999999999994,0.8660254037844387,0,1,1,-1.8062808153854986,1600.0,1920.7390539920304,5,5,31,0,40,8,0,0
2006-01-15,-0.1,34.75,Wholesale,KES,-0.6226281309754425,-0.6454979502578703,2006,1,6,15,0.49999999999999994,0.8660254037844387,0,1,1,-1.8058275914179431,38.51666666666667,14.759302170531353,5,5,31,6,1,11,0,4
2006-01-15,-0.1,34.75,Wholesale,KES,0.7100554162650228,1.3944249609665587,2006,1,6,15,0.49999999999999994,0.8660254037844387,0,1,1,-1.8062808153854986,2428.3333333333335,3108.3542599393118,5,5,31,6,3,8,0,3
2006-01-15,3.116667,35.6,Retail,KES,-0.6272079382868292,-0.6525061676233525,2006,1,6,15,0.49999999999999994,0.8660254037844387,0,49,6,-1.8061999406501528,485.0,1360.3237698452122,6,18,37,0,19,11,0,4
